Rk,Conf,Div,W,L,W_percentage,Unadjusted_MOV,Unadjusted_ORtg,Unadjusted_DRtg,Unadjusted_NRtg,Adjusted_MOV,Adjusted_ORtg,Adjusted_DRtg,Adjusted_NRtg,Season,Team
12,E,C,47,35,0.573,1.06,102.14,101.01,1.13,0.65,101.84,101.15,0.69,2005,Chicago Bulls
14,E,C,41,41,0.5,0.63,104.64,103.99,0.64,0.51,104.38,103.85,0.52,2006,Chicago Bulls
5,E,C,49,33,0.598,5.01,105.71,100.32,5.39,4.52,105.36,100.5,4.86,2007,Chicago Bulls
21,E,C,33,49,0.402,-3.09,104.65,107.91,-3.26,-3.19,104.6,107.96,-3.36,2008,Chicago Bulls
16,E,C,41,41,0.5,-0.28,109.32,109.54,-0.22,-0.16,109.48,109.57,-0.09,2009,Chicago Bulls
19,E,C,41,41,0.5,-1.63,104.24,106.03,-1.79,-1.63,104.29,106.08,-1.79,2010,Chicago Bulls
2,E,C,62,20,0.756,7.32,109.3,101.07,8.23,6.53,109.02,101.65,7.37,2011,Chicago Bulls
1,E,C,50,16,0.758,8.18,108.22,98.89,9.33,7.43,108.21,99.72,8.49,2012,Chicago Bulls
14,E,C,45,37,0.549,0.32,104.23,103.87,0.36,-0.01,104.09,104.1,0,2013,Chicago Bulls
14,E,C,48,34,0.585,1.85,103.49,101.4,2.09,1.19,103.12,101.72,1.4,2014,Chicago Bulls
10,E,C,50,32,0.61,3,108.48,105.11,3.37,2.54,108.42,105.53,2.88,2015,Chicago Bulls
18,E,C,42,40,0.512,-1.48,105.85,107.28,-1.43,-1.46,106.02,107.44,-1.42,2016,Chicago Bulls
15,E,C,41,41,0.5,0.43,108.04,107.72,0.32,0.03,107.91,107.98,-0.08,2017,Chicago Bulls
28,E,C,27,55,0.329,-7.04,104.39,111.61,-7.22,-6.84,104.46,111.47,-7.01,2018,Chicago Bulls
23,E,C,30,52,0.366,-4.24,101.1,105.71,-4.6,-4.48,101.16,106.02,-4.87,2001,Cleveland Cavaliers
22,E,C,29,53,0.354,-3.33,105.41,109.17,-3.76,-3.53,105.63,109.62,-3.99,2002,Cleveland Cavaliers
29,E,C,17,65,0.207,-9.62,97.25,107.48,-10.23,-9.58,97.25,107.45,-10.2,2003,Cleveland Cavaliers
23,E,C,35,47,0.427,-2.62,102.1,105.05,-2.95,-3.07,102.16,105.59,-3.43,2004,Cleveland Cavaliers
15,E,C,42,40,0.512,0.79,107.58,106.68,0.89,0.27,107.5,107.17,0.33,2005,Cleveland Cavaliers
8,E,C,50,32,0.61,2.23,108.49,106.01,2.48,2.17,108.49,106.07,2.42,2006,Cleveland Cavaliers
7,E,C,50,32,0.61,3.83,106.15,102.1,4.05,3.33,105.92,102.41,3.52,2007,Cleveland Cavaliers
16,E,C,45,37,0.549,-0.35,106.66,107.15,-0.49,-0.52,106.58,107.23,-0.65,2008,Cleveland Cavaliers
1,E,C,66,16,0.805,8.93,113.29,103.2,10.09,8.68,113.18,103.37,9.8,2009,Cleveland Cavaliers
2,E,C,61,21,0.744,6.52,112.27,105.07,7.21,6.17,112.29,105.47,6.82,2010,Cleveland Cavaliers
30,E,C,19,63,0.232,-9.01,102.74,112.56,-9.81,-8.88,103.02,112.69,-9.67,2011,Cleveland Cavaliers
29,E,C,21,45,0.318,-7.2,101.86,109.78,-7.92,-7.34,102.06,110.14,-8.08,2012,Cleveland Cavaliers
27,E,C,24,58,0.293,-4.68,105.09,110.16,-5.07,-4.87,105.24,110.52,-5.28,2013,Cleveland Cavaliers
