FG,Dist,portion_from_2,portion_from_0_to_3,portion_from_3_to_10,portion_from_10_to_16,portion_from_over_16,portion_from_3,portion_from_3_corner,portion_from_3_top,percentage_from_2,percentage_from_0_to_3,percentage_from_3_to_10,percentage_from_10_to_16,percentage_from_over_16,percentage_from_3,percentage_from_3_corner,percentage_from_3_top,portion_assisted_2,portion_assisted_3,heaves_attempted,heaves_made,year,Team
0.467,12,0.796,0.341,0.117,0.111,0.228,0.204,0.054468,0.149532,0.494,0.602,0.381,0.411,0.43,0.362,0.39,0.351800819,0.523,0.895,14,2,2006,Boston Celtics
0.424,13.3,0.711,0.293,0.124,0.111,0.182,0.289,0.061557,0.227443,0.45,0.581,0.324,0.351,0.385,0.359,0.33,0.366848793,0.512,0.886,15,2,2002,Boston Celtics
0.45,13.7,0.643,0.259,0.158,0.106,0.12,0.357,0.076041,0.280959,0.491,0.628,0.364,0.419,0.426,0.377,0.408,0.368609911,0.49,0.813,18,0,2018,Boston Celtics
0.415,13.8,0.669,0.268,0.14,0.109,0.152,0.331,0.07613,0.25487,0.455,0.618,0.319,0.346,0.371,0.334,0.343,0.331311688,0.496,0.823,17,1,2003,Boston Celtics
0.453,11.6,0.782,0.284,0.211,0.106,0.181,0.218,0.067362,0.150638,0.481,0.608,0.426,0.404,0.392,0.352,0.391,0.334560058,0.53,0.844,13,0,2016,Brooklyn Nets
0.45,12.6,0.731,0.272,0.203,0.102,0.154,0.269,0.093881,0.175119,0.484,0.623,0.405,0.397,0.4,0.357,0.395,0.336628264,0.484,0.871,12,0,2013,Brooklyn Nets
0.451,12.4,0.76,0.268,0.213,0.116,0.164,0.24,0.06816,0.17184,0.489,0.617,0.444,0.406,0.396,0.331,0.391,0.307201117,0.488,0.887,24,0,2015,Brooklyn Nets
0.441,13.7,0.589,0.269,0.175,0.083,0.062,0.411,0.082611,0.328389,0.5,0.643,0.379,0.4,0.354,0.356,0.376,0.350968711,0.507,0.844,13,1,2018,Brooklyn Nets
0.444,13.2,0.629,0.309,0.173,0.077,0.07,0.371,0.079765,0.291235,0.506,0.613,0.418,0.391,0.374,0.338,0.373,0.328414013,0.454,0.851,21,0,2017,Brooklyn Nets
0.459,13.6,0.699,0.256,0.171,0.112,0.16,0.301,0.073143,0.227857,0.497,0.642,0.413,0.427,0.405,0.369,0.391,0.361937913,0.491,0.88,20,0,2014,Brooklyn Nets
0.452,12,0.78,0.338,0.114,0.098,0.229,0.22,0.07722,0.14278,0.476,0.586,0.412,0.358,0.395,0.367,0.372,0.36429584,0.526,0.888,6,0,2008,Charlotte Hornets
0.446,11.8,0.807,0.335,0.129,0.095,0.249,0.193,0.067936,0.125064,0.467,0.574,0.381,0.352,0.41,0.357,0.384,0.342333333,0.565,0.921,14,1,2007,Charlotte Hornets
0.455,11.6,0.787,0.368,0.119,0.082,0.219,0.213,0.063687,0.149313,0.479,0.566,0.384,0.398,0.415,0.366,0.385,0.357895863,0.539,0.939,18,1,2009,Charlotte Hornets
0.432,11.7,0.872,0.284,0.149,0.145,0.294,0.128,0.044032,0.083968,0.442,0.574,0.375,0.351,0.392,0.363,0.413,0.336780488,0.57,0.903,6,0,2005,Charlotte Hornets
0.453,11,0.789,0.408,0.098,0.08,0.203,0.211,0.060346,0.150654,0.482,0.58,0.398,0.365,0.372,0.346,0.378,0.333182073,0.526,0.861,19,1,2010,Charlotte Hornets
0.425,12.2,0.79,0.319,0.147,0.111,0.212,0.21,0.04368,0.16632,0.448,0.577,0.323,0.373,0.38,0.335,0.402,0.31740404,0.507,0.838,15,0,2013,Charlotte Hornets
0.451,12,0.811,0.334,0.145,0.097,0.235,0.189,0.035343,0.153657,0.48,0.61,0.354,0.395,0.41,0.327,0.373,0.316419434,0.56,0.86,18,0,2011,Charlotte Hornets
0.442,12.6,0.781,0.29,0.151,0.122,0.218,0.219,0.045771,0.173229,0.468,0.607,0.414,0.409,0.352,0.351,0.371,0.34571555,0.539,0.874,17,0,2014,Charlotte Hornets
0.433,11.9,0.816,0.328,0.12,0.107,0.261,0.184,0.05796,0.12604,0.454,0.566,0.407,0.364,0.371,0.339,0.411,0.305890511,0.527,0.893,18,1,2006,Charlotte Hornets
0.414,12.8,0.831,0.29,0.125,0.108,0.309,0.169,0.026702,0.142298,0.439,0.592,0.322,0.377,0.363,0.295,0.34,0.286555819,0.584,0.757,12,0,2012,Charlotte Hornets
0.442,13.9,0.665,0.282,0.133,0.099,0.152,0.335,0.044555,0.290445,0.488,0.61,0.4,0.419,0.38,0.351,0.377,0.347011534,0.545,0.795,15,1,2017,Charlotte Hornets
0.45,13.2,0.686,0.273,0.16,0.114,0.138,0.314,0.048356,0.265644,0.487,0.642,0.38,0.408,0.37,0.369,0.369,0.369,0.484,0.756,22,1,2018,Charlotte Hornets
0.42,13.2,0.774,0.263,0.153,0.124,0.234,0.226,0.040002,0.185998,0.45,0.571,0.381,0.388,0.391,0.318,0.39,0.302515188,0.521,0.791,16,0,2015,Charlotte Hornets
0.431,12.2,0.849,0.27,0.134,0.18,0.265,0.151,0.026878,0.124122,0.446,0.595,0.386,0.363,0.381,0.346,0.406,0.333007299,0.65,0.885,9,1,2001,New Orleans Pelicans
0.44,11.6,0.849,0.308,0.131,0.162,0.248,0.151,0.023103,0.127897,0.456,0.577,0.402,0.363,0.395,0.348,0.408,0.337161747,0.58,0.812,8,0,2002,New Orleans Pelicans
0.439,13.7,0.652,0.274,0.129,0.093,0.156,0.348,0.059508,0.288492,0.479,0.599,0.394,0.383,0.397,0.362,0.409,0.352305187,0.482,0.84,9,1,2016,Charlotte Hornets
0.446,13,0.781,0.292,0.106,0.114,0.269,0.219,0.062196,0.156804,0.465,0.551,0.42,0.41,0.412,0.379,0.389,0.37503352,0.552,0.813,12,0,2006,Chicago Bulls
0.435,12.6,0.81,0.306,0.102,0.12,0.282,0.19,0.04408,0.14592,0.452,0.537,0.392,0.384,0.411,0.363,0.396,0.35303125,0.556,0.873,11,0,2008,Chicago Bulls
0.414,12.4,0.814,0.283,0.13,0.142,0.259,0.186,0.039804,0.146196,0.431,0.537,0.385,0.349,0.383,0.342,0.349,0.340094148,0.614,0.79,10,1,2004,Chicago Bulls
0.435,13.6,0.65,0.254,0.165,0.095,0.135,0.35,0.0644,0.2856,0.478,0.624,0.39,0.388,0.377,0.355,0.372,0.351166667,0.51,0.848,15,0,2018,Chicago Bulls
0.424,12,0.852,0.275,0.151,0.175,0.251,0.148,0.019536,0.128464,0.438,0.569,0.36,0.39,0.375,0.346,0.36,0.343870968,0.634,0.894,5,0,2001,Chicago Bulls
0.451,11.9,0.844,0.331,0.105,0.108,0.3,0.156,0.048048,0.107952,0.474,0.575,0.432,0.418,0.398,0.33,0.393,0.301959538,0.51,0.884,9,0,2010,Chicago Bulls
0.441,12.2,0.756,0.291,0.162,0.117,0.185,0.244,0.054656,0.189344,0.464,0.573,0.391,0.4,0.398,0.371,0.397,0.363494845,0.515,0.883,16,1,2016,Chicago Bulls
0.445,10.9,0.852,0.324,0.169,0.148,0.211,0.148,0.03848,0.10952,0.462,0.59,0.405,0.366,0.38,0.35,0.363,0.345432432,0.562,0.848,7,0,2003,Chicago Bulls
0.444,12.8,0.744,0.28,0.167,0.117,0.179,0.256,0.073984,0.182016,0.479,0.6,0.449,0.393,0.377,0.34,0.415,0.309514768,0.513,0.875,9,0,2017,Chicago Bulls
0.432,12.7,0.778,0.297,0.148,0.112,0.222,0.222,0.04884,0.17316,0.456,0.597,0.334,0.373,0.392,0.348,0.383,0.338128205,0.611,0.854,20,3,2014,Chicago Bulls
0.457,12.7,0.814,0.302,0.1,0.118,0.295,0.186,0.041478,0.144522,0.473,0.567,0.386,0.407,0.432,0.388,0.42,0.378815959,0.562,0.81,11,0,2007,Chicago Bulls
0.432,12.3,0.783,0.297,0.144,0.128,0.214,0.217,0.050778,0.166222,0.453,0.566,0.374,0.367,0.401,0.357,0.402,0.343253264,0.569,0.806,5,0,2005,Chicago Bulls
0.462,12.5,0.785,0.304,0.151,0.102,0.229,0.215,0.059125,0.155875,0.489,0.638,0.389,0.404,0.397,0.361,0.373,0.356448276,0.548,0.863,17,0,2011,Chicago Bulls
0.457,12.4,0.811,0.33,0.084,0.104,0.293,0.189,0.046494,0.142506,0.474,0.574,0.386,0.387,0.418,0.381,0.374,0.38328382,0.505,0.817,13,0,2009,Chicago Bulls
0.452,12.6,0.795,0.297,0.142,0.116,0.241,0.205,0.053505,0.151495,0.471,0.605,0.415,0.405,0.372,0.375,0.375,0.375,0.581,0.807,13,0,2012,Chicago Bulls
0.433,12,0.866,0.295,0.111,0.161,0.299,0.134,0.025326,0.108674,0.447,0.562,0.343,0.405,0.393,0.346,0.305,0.355554871,0.617,0.89,7,0,2002,Chicago Bulls
0.442,12.6,0.731,0.308,0.156,0.099,0.163,0.269,0.058104,0.210896,0.474,0.589,0.394,0.373,0.401,0.353,0.386,0.343908163,0.525,0.842,18,2,2015,Chicago Bulls
0.437,12.2,0.811,0.306,0.139,0.14,0.226,0.189,0.043281,0.145719,0.456,0.615,0.333,0.376,0.367,0.353,0.359,0.351217899,0.61,0.839,11,0,2013,Chicago Bulls
0.439,12.7,0.769,0.321,0.105,0.106,0.238,0.231,0.079695,0.151305,0.463,0.602,0.366,0.357,0.365,0.358,0.383,0.344832061,0.498,0.821,9,0,2008,Cleveland Cavaliers
0.433,10.6,0.884,0.318,0.173,0.196,0.197,0.116,0.03364,0.08236,0.448,0.586,0.355,0.387,0.368,0.314,0.338,0.304197183,0.595,0.879,13,0,2004,Cleveland Cavaliers
0.447,11.2,0.865,0.312,0.161,0.159,0.233,0.135,0.03942,0.09558,0.465,0.609,0.402,0.358,0.39,0.332,0.36,0.320451977,0.599,0.797,4,0,2005,Cleveland Cavaliers
0.422,11.7,0.763,0.326,0.188,0.081,0.167,0.238,0.056168,0.181832,0.446,0.599,0.322,0.326,0.343,0.346,0.359,0.341984293,0.516,0.836,6,0,2012,Cleveland Cavaliers
0.458,13.2,0.666,0.295,0.156,0.092,0.124,0.334,0.096526,0.237474,0.504,0.649,0.358,0.387,0.432,0.367,0.364,0.368219409,0.509,0.803,4,1,2015,Cleveland Cavaliers
0.447,12.1,0.789,0.323,0.129,0.123,0.214,0.211,0.072162,0.138838,0.473,0.622,0.358,0.373,0.375,0.352,0.363,0.346282675,0.519,0.846,12,2,2007,Cleveland Cavaliers
0.448,12.4,0.844,0.255,0.141,0.206,0.242,0.156,0.037128,0.118872,0.461,0.58,0.391,0.425,0.407,0.377,0.43,0.360446194,0.601,0.91,20,1,2002,Cleveland Cavaliers
0.47,14.4,0.601,0.284,0.11,0.092,0.115,0.399,0.116907,0.282093,0.528,0.666,0.362,0.428,0.425,0.384,0.412,0.37239604,0.441,0.829,7,0,2017,Cleveland Cavaliers
0.485,12.5,0.752,0.339,0.119,0.08,0.214,0.248,0.081592,0.166408,0.52,0.667,0.443,0.369,0.387,0.381,0.412,0.365800298,0.551,0.762,12,1,2010,Cleveland Cavaliers
0.437,12.8,0.764,0.269,0.17,0.128,0.197,0.236,0.059472,0.176528,0.461,0.583,0.388,0.394,0.402,0.356,0.373,0.350272727,0.513,0.82,19,0,2014,Cleveland Cavaliers
0.46,13.3,0.648,0.28,0.149,0.095,0.125,0.352,0.09152,0.26048,0.514,0.658,0.391,0.378,0.438,0.362,0.391,0.351810811,0.481,0.861,5,1,2016,Cleveland Cavaliers
0.442,10.9,0.899,0.28,0.201,0.19,0.228,0.101,0.034138,0.066862,0.455,0.622,0.335,0.41,0.392,0.334,0.359,0.32123565,0.564,0.914,22,1,2001,Cleveland Cavaliers
0.434,12.3,0.776,0.296,0.179,0.097,0.203,0.224,0.052416,0.171584,0.461,0.61,0.355,0.333,0.398,0.342,0.37,0.333446475,0.542,0.847,7,0,2011,Cleveland Cavaliers
0.434,12.4,0.771,0.294,0.174,0.116,0.188,0.229,0.048319,0.180681,0.46,0.584,0.352,0.385,0.411,0.346,0.338,0.348139417,0.509,0.821,12,1,2013,Cleveland Cavaliers
0.476,13.8,0.621,0.297,0.113,0.092,0.119,0.379,0.095508,0.283492,0.54,0.706,0.368,0.413,0.387,0.372,0.417,0.356839572,0.478,0.819,13,0,2018,Cleveland Cavaliers
0.422,11.1,0.867,0.303,0.159,0.188,0.216,0.133,0.044555,0.088445,0.437,0.596,0.331,0.361,0.359,0.327,0.373,0.303827068,0.572,0.853,21,0,2003,Cleveland Cavaliers
0.468,13.7,0.741,0.278,0.101,0.101,0.262,0.259,0.090909,0.168091,0.495,0.644,0.385,0.391,0.418,0.393,0.412,0.382724191,0.484,0.79,10,0,2009,Cleveland Cavaliers
0.454,11.9,0.772,0.351,0.121,0.103,0.198,0.228,0.08322,0.14478,0.487,0.616,0.375,0.348,0.399,0.339,0.36,0.326929134,0.482,0.803,15,0,2006,Cleveland Cavaliers
0.462,13,0.764,0.242,0.179,0.16,0.182,0.236,0.054752,0.181248,0.489,0.627,0.432,0.412,0.431,0.372,0.363,0.37471875,0.538,0.86,18,0,2013,Dallas Mavericks
0.467,13,0.782,0.269,0.104,0.163,0.246,0.218,0.071504,0.146496,0.491,0.606,0.401,0.452,0.43,0.381,0.377,0.382952381,0.469,0.88,14,0,2007,Dallas Mavericks
0.464,13,0.785,0.264,0.108,0.17,0.243,0.215,0.059985,0.155015,0.495,0.611,0.398,0.438,0.453,0.352,0.371,0.344647712,0.503,0.903,19,0,2008,Dallas Mavericks
0.44,15.4,0.634,0.201,0.127,0.116,0.189,0.366,0.071736,0.294264,0.489,0.637,0.444,0.441,0.391,0.355,0.371,0.351099502,0.474,0.813,17,0,2017,Dallas Mavericks
0.459,12.3,0.798,0.257,0.165,0.166,0.21,0.202,0.047268,0.154732,0.479,0.656,0.347,0.413,0.419,0.381,0.355,0.388942559,0.513,0.816,14,0,2001,Dallas Mavericks
0.443,13.4,0.729,0.24,0.167,0.148,0.175,0.271,0.061788,0.209212,0.482,0.658,0.355,0.409,0.422,0.339,0.35,0.335751295,0.509,0.829,10,0,2012,Dallas Mavericks
0.474,13.2,0.726,0.262,0.156,0.135,0.173,0.274,0.054526,0.219474,0.508,0.655,0.418,0.426,0.428,0.384,0.412,0.377043695,0.52,0.861,15,0,2014,Dallas Mavericks
0.462,13.4,0.759,0.266,0.089,0.162,0.242,0.241,0.067962,0.173038,0.498,0.601,0.402,0.443,0.456,0.35,0.335,0.355891365,0.506,0.851,17,1,2009,Dallas Mavericks
0.464,12.7,0.778,0.282,0.127,0.142,0.229,0.222,0.049062,0.172938,0.491,0.6,0.422,0.41,0.444,0.372,0.399,0.36434018,0.556,0.864,13,0,2010,Dallas Mavericks
0.457,12.3,0.81,0.287,0.132,0.148,0.243,0.19,0.04598,0.14402,0.479,0.594,0.44,0.399,0.413,0.364,0.37,0.362084433,0.472,0.834,20,0,2005,Dallas Mavericks
0.462,11.8,0.825,0.287,0.143,0.178,0.218,0.175,0.0406,0.1344,0.481,0.571,0.423,0.425,0.447,0.374,0.422,0.3595,0.435,0.894,19,0,2006,Dallas Mavericks
0.459,12.1,0.799,0.29,0.159,0.129,0.219,0.201,0.033768,0.167232,0.488,0.619,0.414,0.428,0.402,0.348,0.373,0.342951923,0.548,0.828,18,0,2004,Dallas Mavericks
0.475,13.6,0.726,0.24,0.162,0.125,0.199,0.274,0.080282,0.193718,0.516,0.684,0.407,0.423,0.461,0.365,0.392,0.353810467,0.565,0.905,18,1,2011,Dallas Mavericks
0.444,13.7,0.661,0.243,0.149,0.111,0.159,0.339,0.072207,0.266793,0.495,0.656,0.369,0.431,0.412,0.344,0.39,0.331550191,0.5,0.847,17,0,2016,Dallas Mavericks
0.453,13.2,0.761,0.253,0.131,0.136,0.241,0.239,0.057838,0.181162,0.475,0.622,0.416,0.408,0.391,0.381,0.372,0.383873351,0.515,0.843,11,0,2003,Dallas Mavericks
0.463,13.3,0.704,0.287,0.142,0.094,0.182,0.296,0.067784,0.228216,0.509,0.661,0.379,0.42,0.417,0.352,0.393,0.339822309,0.482,0.857,10,1,2015,Dallas Mavericks
