Team,year,Distance,Frequency
Houston Rockets,2008,3-10 ft,0.127
Houston Rockets,2008,10-16 ft,0.096
Houston Rockets,2008,Over 16 ft,0.206
Houston Rockets,2008,3P Corner,0.05202
Houston Rockets,2008,3P Top,0.20298
Houston Rockets,2009,0-3 ft,0.309
Houston Rockets,2009,3-10 ft,0.16
Houston Rockets,2009,10-16 ft,0.111
Houston Rockets,2009,Over 16 ft,0.166
Houston Rockets,2009,3P Corner,0.049276
Houston Rockets,2009,3P Top,0.204724
Houston Rockets,2010,0-3 ft,0.346
Houston Rockets,2010,3-10 ft,0.134
Houston Rockets,2010,10-16 ft,0.089
Houston Rockets,2010,Over 16 ft,0.165
Houston Rockets,2010,3P Corner,0.0636
Houston Rockets,2010,3P Top,0.2014
Houston Rockets,2011,0-3 ft,0.263
Houston Rockets,2011,3-10 ft,0.203
Houston Rockets,2011,10-16 ft,0.092
Houston Rockets,2011,Over 16 ft,0.177
Houston Rockets,2011,3P Corner,0.059928
Houston Rockets,2011,3P Top,0.204072
Houston Rockets,2012,0-3 ft,0.25
Houston Rockets,2012,3-10 ft,0.202
Houston Rockets,2012,10-16 ft,0.12
Houston Rockets,2012,Over 16 ft,0.189
Houston Rockets,2012,3P Corner,0.06888
Houston Rockets,2012,3P Top,0.17112
Houston Rockets,2013,0-3 ft,0.341
Houston Rockets,2013,3-10 ft,0.156
Houston Rockets,2013,10-16 ft,0.048
Houston Rockets,2013,Over 16 ft,0.106
Houston Rockets,2013,3P Corner,0.10121
Houston Rockets,2013,3P Top,0.24779
Houston Rockets,2014,0-3 ft,0.341
Houston Rockets,2014,3-10 ft,0.214
Houston Rockets,2014,10-16 ft,0.049
Houston Rockets,2014,Over 16 ft,0.065
Houston Rockets,2014,3P Corner,0.0759
Houston Rockets,2014,3P Top,0.2541
Houston Rockets,2015,0-3 ft,0.309
Houston Rockets,2015,3-10 ft,0.184
Houston Rockets,2015,10-16 ft,0.047
Houston Rockets,2015,Over 16 ft,0.068
Houston Rockets,2015,3P Corner,0.128184
Houston Rockets,2015,3P Top,0.263816
Houston Rockets,2016,0-3 ft,0.321
Houston Rockets,2016,3-10 ft,0.164
Houston Rockets,2016,10-16 ft,0.064
Houston Rockets,2016,Over 16 ft,0.082
Houston Rockets,2016,3P Corner,0.11359
Houston Rockets,2016,3P Top,0.25641
Houston Rockets,2017,0-3 ft,0.321
Houston Rockets,2017,3-10 ft,0.125
Houston Rockets,2017,10-16 ft,0.041
Houston Rockets,2017,Over 16 ft,0.05
Houston Rockets,2017,3P Corner,0.092862
Houston Rockets,2017,3P Top,0.369138
Houston Rockets,2018,0-3 ft,0.288
Houston Rockets,2018,3-10 ft,0.103
Houston Rockets,2018,10-16 ft,0.062
Houston Rockets,2018,Over 16 ft,0.044
Houston Rockets,2018,3P Corner,0.113954
Houston Rockets,2018,3P Top,0.388046
Indiana Pacers,2001,0-3 ft,0.221
Indiana Pacers,2001,3-10 ft,0.201
Indiana Pacers,2001,10-16 ft,0.157
Indiana Pacers,2001,Over 16 ft,0.241
Indiana Pacers,2001,3P Corner,0.05922
Indiana Pacers,2001,3P Top,0.12078
Indiana Pacers,2002,0-3 ft,0.236
Indiana Pacers,2002,3-10 ft,0.193
Indiana Pacers,2002,10-16 ft,0.168
Indiana Pacers,2002,Over 16 ft,0.222
Indiana Pacers,2002,3P Corner,0.052416
Indiana Pacers,2002,3P Top,0.129584
Indiana Pacers,2003,0-3 ft,0.278
Indiana Pacers,2003,3-10 ft,0.163
Indiana Pacers,2003,10-16 ft,0.163
Indiana Pacers,2003,Over 16 ft,0.226
Indiana Pacers,2003,3P Corner,0.037518
Indiana Pacers,2003,3P Top,0.131482
Indiana Pacers,2004,0-3 ft,0.288
Indiana Pacers,2004,3-10 ft,0.156
Indiana Pacers,2004,10-16 ft,0.157
Indiana Pacers,2004,Over 16 ft,0.196
Indiana Pacers,2004,3P Corner,0.06699
Indiana Pacers,2004,3P Top,0.13601
Indiana Pacers,2005,0-3 ft,0.27
Indiana Pacers,2005,3-10 ft,0.14
Indiana Pacers,2005,10-16 ft,0.137
Indiana Pacers,2005,Over 16 ft,0.199
Indiana Pacers,2005,3P Corner,0.06936
Indiana Pacers,2005,3P Top,0.18564
Indiana Pacers,2006,0-3 ft,0.283
Indiana Pacers,2006,3-10 ft,0.141
Indiana Pacers,2006,10-16 ft,0.133
Indiana Pacers,2006,Over 16 ft,0.198
Indiana Pacers,2006,3P Corner,0.058555
Indiana Pacers,2006,3P Top,0.186445
Indiana Pacers,2007,0-3 ft,0.272
Indiana Pacers,2007,3-10 ft,0.158
Indiana Pacers,2007,10-16 ft,0.146
Indiana Pacers,2007,Over 16 ft,0.213
Indiana Pacers,2007,3P Corner,0.057028
Indiana Pacers,2007,3P Top,0.154972
Indiana Pacers,2008,0-3 ft,0.246
Indiana Pacers,2008,3-10 ft,0.138
Indiana Pacers,2008,10-16 ft,0.111
Indiana Pacers,2008,Over 16 ft,0.216
Indiana Pacers,2008,3P Corner,0.054332
Indiana Pacers,2008,3P Top,0.234668
Indiana Pacers,2009,0-3 ft,0.295
Indiana Pacers,2009,3-10 ft,0.135
Indiana Pacers,2009,10-16 ft,0.103
Indiana Pacers,2009,Over 16 ft,0.223
Indiana Pacers,2009,3P Corner,0.042456
Indiana Pacers,2009,3P Top,0.201544
Indiana Pacers,2010,0-3 ft,0.28
Indiana Pacers,2010,3-10 ft,0.135
Indiana Pacers,2010,10-16 ft,0.098
Indiana Pacers,2010,Over 16 ft,0.209
Indiana Pacers,2010,3P Corner,0.052542
Indiana Pacers,2010,3P Top,0.225458
Indiana Pacers,2011,0-3 ft,0.245
Indiana Pacers,2011,3-10 ft,0.182
Indiana Pacers,2011,10-16 ft,0.116
Indiana Pacers,2011,Over 16 ft,0.213
Indiana Pacers,2011,3P Corner,0.049532
Indiana Pacers,2011,3P Top,0.194468
Indiana Pacers,2012,0-3 ft,0.269
Indiana Pacers,2012,3-10 ft,0.219
Indiana Pacers,2012,10-16 ft,0.127
Indiana Pacers,2012,Over 16 ft,0.187
Indiana Pacers,2012,3P Corner,0.054846
Indiana Pacers,2012,3P Top,0.143154
Indiana Pacers,2013,0-3 ft,0.271
Indiana Pacers,2013,3-10 ft,0.19
Indiana Pacers,2013,10-16 ft,0.116
Indiana Pacers,2013,Over 16 ft,0.178
Indiana Pacers,2013,3P Corner,0.061495
Indiana Pacers,2013,3P Top,0.183505
Indiana Pacers,2014,0-3 ft,0.249
Indiana Pacers,2014,3-10 ft,0.188
Indiana Pacers,2014,10-16 ft,0.124
Indiana Pacers,2014,Over 16 ft,0.205
Indiana Pacers,2014,3P Corner,0.05781
Indiana Pacers,2014,3P Top,0.17719
Indiana Pacers,2015,0-3 ft,0.244
Indiana Pacers,2015,3-10 ft,0.173
Indiana Pacers,2015,10-16 ft,0.105
Indiana Pacers,2015,Over 16 ft,0.222
Indiana Pacers,2015,3P Corner,0.06783
Indiana Pacers,2015,3P Top,0.18717
Indiana Pacers,2016,0-3 ft,0.27
Indiana Pacers,2016,3-10 ft,0.133
Indiana Pacers,2016,10-16 ft,0.108
Indiana Pacers,2016,Over 16 ft,0.219
Indiana Pacers,2016,3P Corner,0.07371
Indiana Pacers,2016,3P Top,0.19629
Indiana Pacers,2017,0-3 ft,0.241
Indiana Pacers,2017,3-10 ft,0.186
Indiana Pacers,2017,10-16 ft,0.107
Indiana Pacers,2017,Over 16 ft,0.194
Indiana Pacers,2017,3P Corner,0.070176
Indiana Pacers,2017,3P Top,0.201824
Indiana Pacers,2018,0-3 ft,0.293
Indiana Pacers,2018,3-10 ft,0.136
Indiana Pacers,2018,10-16 ft,0.096
Indiana Pacers,2018,Over 16 ft,0.191
Indiana Pacers,2018,3P Corner,0.06248
Indiana Pacers,2018,3P Top,0.22152
Los Angeles Clippers,2001,0-3 ft,0.273
Los Angeles Clippers,2001,3-10 ft,0.226
Los Angeles Clippers,2001,10-16 ft,0.152
Los Angeles Clippers,2001,Over 16 ft,0.184
Los Angeles Clippers,2001,3P Corner,0.02542
Los Angeles Clippers,2001,3P Top,0.13858
Los Angeles Clippers,2002,0-3 ft,0.261
Los Angeles Clippers,2002,3-10 ft,0.23
Los Angeles Clippers,2002,10-16 ft,0.184
Los Angeles Clippers,2002,Over 16 ft,0.153
Los Angeles Clippers,2002,3P Corner,0.019436
Los Angeles Clippers,2002,3P Top,0.152564
Los Angeles Clippers,2003,0-3 ft,0.317
Los Angeles Clippers,2003,3-10 ft,0.194
Los Angeles Clippers,2003,10-16 ft,0.137
Los Angeles Clippers,2003,Over 16 ft,0.17
Los Angeles Clippers,2003,3P Corner,0.027664
Los Angeles Clippers,2003,3P Top,0.154336
Los Angeles Clippers,2004,0-3 ft,0.341
Los Angeles Clippers,2004,3-10 ft,0.155
Los Angeles Clippers,2004,10-16 ft,0.13
Los Angeles Clippers,2004,Over 16 ft,0.218
Los Angeles Clippers,2004,3P Corner,0.02106
Los Angeles Clippers,2004,3P Top,0.13494
Los Angeles Clippers,2005,0-3 ft,0.298
Los Angeles Clippers,2005,3-10 ft,0.151
Los Angeles Clippers,2005,10-16 ft,0.156
Los Angeles Clippers,2005,Over 16 ft,0.29
Los Angeles Clippers,2005,3P Corner,0.03171
Los Angeles Clippers,2005,3P Top,0.07329
Los Angeles Clippers,2006,0-3 ft,0.248
Los Angeles Clippers,2006,3-10 ft,0.174
Los Angeles Clippers,2006,10-16 ft,0.206
Los Angeles Clippers,2006,Over 16 ft,0.242
Los Angeles Clippers,2006,3P Corner,0.028427
Los Angeles Clippers,2006,3P Top,0.102573
Los Angeles Clippers,2007,0-3 ft,0.252
Los Angeles Clippers,2007,3-10 ft,0.157
Los Angeles Clippers,2007,10-16 ft,0.194
Los Angeles Clippers,2007,Over 16 ft,0.255
Los Angeles Clippers,2007,3P Corner,0.025883
Los Angeles Clippers,2007,3P Top,0.117117
Los Angeles Clippers,2008,0-3 ft,0.261
Los Angeles Clippers,2008,3-10 ft,0.128
Los Angeles Clippers,2008,10-16 ft,0.153
Los Angeles Clippers,2008,Over 16 ft,0.291
Los Angeles Clippers,2008,3P Corner,0.025217
Los Angeles Clippers,2008,3P Top,0.141783
Los Angeles Clippers,2009,0-3 ft,0.336
Los Angeles Clippers,2009,3-10 ft,0.119
Los Angeles Clippers,2009,10-16 ft,0.102
Los Angeles Clippers,2009,Over 16 ft,0.218
Los Angeles Clippers,2009,3P Corner,0.04068
Los Angeles Clippers,2009,3P Top,0.18532
Los Angeles Clippers,2010,0-3 ft,0.341
Los Angeles Clippers,2010,3-10 ft,0.113
Los Angeles Clippers,2010,10-16 ft,0.117
Los Angeles Clippers,2010,Over 16 ft,0.208
Los Angeles Clippers,2010,3P Corner,0.049725
Los Angeles Clippers,2010,3P Top,0.171275
Los Angeles Clippers,2011,0-3 ft,0.307
Los Angeles Clippers,2011,3-10 ft,0.199
Los Angeles Clippers,2011,10-16 ft,0.081
Los Angeles Clippers,2011,Over 16 ft,0.183
Los Angeles Clippers,2011,3P Corner,0.05842
Los Angeles Clippers,2011,3P Top,0.17158
Los Angeles Clippers,2012,0-3 ft,0.256
Los Angeles Clippers,2012,3-10 ft,0.159
Los Angeles Clippers,2012,10-16 ft,0.083
Los Angeles Clippers,2012,Over 16 ft,0.234
Los Angeles Clippers,2012,3P Corner,0.077472
Los Angeles Clippers,2012,3P Top,0.191528
Los Angeles Clippers,2013,0-3 ft,0.281
Los Angeles Clippers,2013,3-10 ft,0.17
Los Angeles Clippers,2013,10-16 ft,0.089
Los Angeles Clippers,2013,Over 16 ft,0.195
Los Angeles Clippers,2013,3P Corner,0.08851
Los Angeles Clippers,2013,3P Top,0.17649
Los Angeles Clippers,2014,0-3 ft,0.267
Los Angeles Clippers,2014,3-10 ft,0.137
Los Angeles Clippers,2014,10-16 ft,0.097
Los Angeles Clippers,2014,Over 16 ft,0.208
Los Angeles Clippers,2014,3P Corner,0.083226
Los Angeles Clippers,2014,3P Top,0.207774
Los Angeles Clippers,2015,0-3 ft,0.241
Los Angeles Clippers,2015,3-10 ft,0.119
Los Angeles Clippers,2015,10-16 ft,0.096
Los Angeles Clippers,2015,Over 16 ft,0.217
Los Angeles Clippers,2015,3P Corner,0.085008
Los Angeles Clippers,2015,3P Top,0.236992
Los Angeles Clippers,2016,0-3 ft,0.239
Los Angeles Clippers,2016,3-10 ft,0.129
Los Angeles Clippers,2016,10-16 ft,0.093
Los Angeles Clippers,2016,Over 16 ft,0.215
Los Angeles Clippers,2016,3P Corner,0.073224
Los Angeles Clippers,2016,3P Top,0.250776
Los Angeles Clippers,2017,0-3 ft,0.275
Los Angeles Clippers,2017,3-10 ft,0.118
Los Angeles Clippers,2017,10-16 ft,0.081
Los Angeles Clippers,2017,Over 16 ft,0.197
Los Angeles Clippers,2017,3P Corner,0.065142
Los Angeles Clippers,2017,3P Top,0.263858
Los Angeles Clippers,2018,0-3 ft,0.347
Los Angeles Clippers,2018,3-10 ft,0.164
Los Angeles Clippers,2018,10-16 ft,0.083
Los Angeles Clippers,2018,Over 16 ft,0.091
Los Angeles Clippers,2018,3P Corner,0.068766
Los Angeles Clippers,2018,3P Top,0.245234
Los Angeles Lakers,2001,0-3 ft,0.285
Los Angeles Lakers,2001,3-10 ft,0.186
Los Angeles Lakers,2001,10-16 ft,0.137
Los Angeles Lakers,2001,Over 16 ft,0.201
Los Angeles Lakers,2001,3P Corner,0.03247
Los Angeles Lakers,2001,3P Top,0.15853
Los Angeles Lakers,2002,0-3 ft,0.28
Los Angeles Lakers,2002,3-10 ft,0.167
Los Angeles Lakers,2002,10-16 ft,0.137
Los Angeles Lakers,2002,Over 16 ft,0.206
Los Angeles Lakers,2002,3P Corner,0.05397
Los Angeles Lakers,2002,3P Top,0.15603
Los Angeles Lakers,2003,0-3 ft,0.283
Los Angeles Lakers,2003,3-10 ft,0.158
Los Angeles Lakers,2003,10-16 ft,0.133
Los Angeles Lakers,2003,Over 16 ft,0.225
Los Angeles Lakers,2003,3P Corner,0.048158
Los Angeles Lakers,2003,3P Top,0.150842
Los Angeles Lakers,2004,0-3 ft,0.326
Los Angeles Lakers,2004,3-10 ft,0.143
Los Angeles Lakers,2004,10-16 ft,0.126
Los Angeles Lakers,2004,Over 16 ft,0.238
Los Angeles Lakers,2004,3P Corner,0.039913
Los Angeles Lakers,2004,3P Top,0.127087
Los Angeles Lakers,2005,0-3 ft,0.329
Los Angeles Lakers,2005,3-10 ft,0.118
Los Angeles Lakers,2005,10-16 ft,0.092
Los Angeles Lakers,2005,Over 16 ft,0.188
Los Angeles Lakers,2005,3P Corner,0.06825
Los Angeles Lakers,2005,3P Top,0.20475
Los Angeles Lakers,2006,0-3 ft,0.304
Los Angeles Lakers,2006,3-10 ft,0.121
Los Angeles Lakers,2006,10-16 ft,0.106
Los Angeles Lakers,2006,Over 16 ft,0.229
Los Angeles Lakers,2006,3P Corner,0.04464
Los Angeles Lakers,2006,3P Top,0.19536
Los Angeles Lakers,2007,0-3 ft,0.326
Los Angeles Lakers,2007,3-10 ft,0.122
Los Angeles Lakers,2007,10-16 ft,0.096
Los Angeles Lakers,2007,Over 16 ft,0.196
Los Angeles Lakers,2007,3P Corner,0.059311
Los Angeles Lakers,2007,3P Top,0.199689
Los Angeles Lakers,2008,0-3 ft,0.328
Los Angeles Lakers,2008,3-10 ft,0.109
Los Angeles Lakers,2008,10-16 ft,0.093
Los Angeles Lakers,2008,Over 16 ft,0.213
Los Angeles Lakers,2008,3P Corner,0.07196
Los Angeles Lakers,2008,3P Top,0.18504
Los Angeles Lakers,2009,0-3 ft,0.32
Los Angeles Lakers,2009,3-10 ft,0.148
Los Angeles Lakers,2009,10-16 ft,0.119
Los Angeles Lakers,2009,Over 16 ft,0.196
Los Angeles Lakers,2009,3P Corner,0.059458
Los Angeles Lakers,2009,3P Top,0.157542
Los Angeles Lakers,2010,0-3 ft,0.311
Los Angeles Lakers,2010,3-10 ft,0.15
Los Angeles Lakers,2010,10-16 ft,0.121
Los Angeles Lakers,2010,Over 16 ft,0.191
Los Angeles Lakers,2010,3P Corner,0.052437
Los Angeles Lakers,2010,3P Top,0.174563
Los Angeles Lakers,2011,0-3 ft,0.256
Los Angeles Lakers,2011,3-10 ft,0.206
Los Angeles Lakers,2011,10-16 ft,0.118
Los Angeles Lakers,2011,Over 16 ft,0.199
Los Angeles Lakers,2011,3P Corner,0.06292
Los Angeles Lakers,2011,3P Top,0.15708
Los Angeles Lakers,2012,0-3 ft,0.258
Los Angeles Lakers,2012,3-10 ft,0.212
Los Angeles Lakers,2012,10-16 ft,0.117
Los Angeles Lakers,2012,Over 16 ft,0.205
Los Angeles Lakers,2012,3P Corner,0.059147
Los Angeles Lakers,2012,3P Top,0.149853
Los Angeles Lakers,2013,0-3 ft,0.281
Los Angeles Lakers,2013,3-10 ft,0.17
Los Angeles Lakers,2013,10-16 ft,0.089
Los Angeles Lakers,2013,Over 16 ft,0.158
Los Angeles Lakers,2013,3P Corner,0.077871
Los Angeles Lakers,2013,3P Top,0.225129
Los Angeles Lakers,2014,0-3 ft,0.247
Los Angeles Lakers,2014,3-10 ft,0.177
Los Angeles Lakers,2014,10-16 ft,0.116
Los Angeles Lakers,2014,Over 16 ft,0.169
Los Angeles Lakers,2014,3P Corner,0.069549
Los Angeles Lakers,2014,3P Top,0.221451
Los Angeles Lakers,2015,0-3 ft,0.263
Los Angeles Lakers,2015,3-10 ft,0.151
Los Angeles Lakers,2015,10-16 ft,0.131
Los Angeles Lakers,2015,Over 16 ft,0.232
Los Angeles Lakers,2015,3P Corner,0.04026
Los Angeles Lakers,2015,3P Top,0.17974
Los Angeles Lakers,2016,0-3 ft,0.255
Los Angeles Lakers,2016,3-10 ft,0.163
Los Angeles Lakers,2016,10-16 ft,0.125
Los Angeles Lakers,2016,Over 16 ft,0.168
Los Angeles Lakers,2016,3P Corner,0.05568
Los Angeles Lakers,2016,3P Top,0.23432
Los Angeles Lakers,2017,0-3 ft,0.299
Los Angeles Lakers,2017,3-10 ft,0.187
Los Angeles Lakers,2017,10-16 ft,0.103
Los Angeles Lakers,2017,Over 16 ft,0.118
Los Angeles Lakers,2017,3P Corner,0.064015
Los Angeles Lakers,2017,3P Top,0.230985
Los Angeles Lakers,2018,0-3 ft,0.321
Los Angeles Lakers,2018,3-10 ft,0.168
Los Angeles Lakers,2018,10-16 ft,0.086
Los Angeles Lakers,2018,Over 16 ft,0.096
Los Angeles Lakers,2018,3P Corner,0.052311
Los Angeles Lakers,2018,3P Top,0.276689
Memphis Grizzlies,2001,0-3 ft,0.217
Memphis Grizzlies,2001,3-10 ft,0.184
Memphis Grizzlies,2001,10-16 ft,0.13
Memphis Grizzlies,2001,Over 16 ft,0.323
Memphis Grizzlies,2001,3P Corner,0.038715
Memphis Grizzlies,2001,3P Top,0.106285
Memphis Grizzlies,2002,0-3 ft,0.288
Memphis Grizzlies,2002,3-10 ft,0.176
Memphis Grizzlies,2002,10-16 ft,0.135
Memphis Grizzlies,2002,Over 16 ft,0.233
Memphis Grizzlies,2002,3P Corner,0.03612
Memphis Grizzlies,2002,3P Top,0.13188
Memphis Grizzlies,2003,0-3 ft,0.287
Memphis Grizzlies,2003,3-10 ft,0.173
Memphis Grizzlies,2003,10-16 ft,0.132
Memphis Grizzlies,2003,Over 16 ft,0.218
Memphis Grizzlies,2003,3P Corner,0.04902
Memphis Grizzlies,2003,3P Top,0.14098
Memphis Grizzlies,2004,0-3 ft,0.342
Memphis Grizzlies,2004,3-10 ft,0.17
Memphis Grizzlies,2004,10-16 ft,0.101
Memphis Grizzlies,2004,Over 16 ft,0.19
Memphis Grizzlies,2004,3P Corner,0.054569
Memphis Grizzlies,2004,3P Top,0.142431
Memphis Grizzlies,2005,0-3 ft,0.354
Memphis Grizzlies,2005,3-10 ft,0.145
Memphis Grizzlies,2005,10-16 ft,0.089
Memphis Grizzlies,2005,Over 16 ft,0.176
Memphis Grizzlies,2005,3P Corner,0.07347
Memphis Grizzlies,2005,3P Top,0.16353
Memphis Grizzlies,2006,0-3 ft,0.328
Memphis Grizzlies,2006,3-10 ft,0.145
Memphis Grizzlies,2006,10-16 ft,0.092
Memphis Grizzlies,2006,Over 16 ft,0.178
Memphis Grizzlies,2006,3P Corner,0.078432
Memphis Grizzlies,2006,3P Top,0.179568
Memphis Grizzlies,2007,0-3 ft,0.343
Memphis Grizzlies,2007,3-10 ft,0.139
Memphis Grizzlies,2007,10-16 ft,0.1
Memphis Grizzlies,2007,Over 16 ft,0.207
Memphis Grizzlies,2007,3P Corner,0.034393
Memphis Grizzlies,2007,3P Top,0.176607
Memphis Grizzlies,2008,0-3 ft,0.324
Memphis Grizzlies,2008,3-10 ft,0.142
Memphis Grizzlies,2008,10-16 ft,0.093
Memphis Grizzlies,2008,Over 16 ft,0.178
Memphis Grizzlies,2008,3P Corner,0.052008
Memphis Grizzlies,2008,3P Top,0.211992
Memphis Grizzlies,2009,0-3 ft,0.332
Memphis Grizzlies,2009,3-10 ft,0.164
Memphis Grizzlies,2009,10-16 ft,0.102
Memphis Grizzlies,2009,Over 16 ft,0.227
Memphis Grizzlies,2009,3P Corner,0.0441
Memphis Grizzlies,2009,3P Top,0.1309
Memphis Grizzlies,2010,0-3 ft,0.37
Memphis Grizzlies,2010,3-10 ft,0.168
Memphis Grizzlies,2010,10-16 ft,0.11
Memphis Grizzlies,2010,Over 16 ft,0.203
Memphis Grizzlies,2010,3P Corner,0.033004
Memphis Grizzlies,2010,3P Top,0.114996
Memphis Grizzlies,2011,0-3 ft,0.309
Memphis Grizzlies,2011,3-10 ft,0.244
Memphis Grizzlies,2011,10-16 ft,0.107
Memphis Grizzlies,2011,Over 16 ft,0.204
Memphis Grizzlies,2011,3P Corner,0.036312
Memphis Grizzlies,2011,3P Top,0.099688
Memphis Grizzlies,2012,0-3 ft,0.298
Memphis Grizzlies,2012,3-10 ft,0.192
Memphis Grizzlies,2012,10-16 ft,0.134
Memphis Grizzlies,2012,Over 16 ft,0.219
Memphis Grizzlies,2012,3P Corner,0.035482
Memphis Grizzlies,2012,3P Top,0.121518
Memphis Grizzlies,2013,0-3 ft,0.304
Memphis Grizzlies,2013,3-10 ft,0.196
Memphis Grizzlies,2013,10-16 ft,0.125
Memphis Grizzlies,2013,Over 16 ft,0.21
Memphis Grizzlies,2013,3P Corner,0.047642
Memphis Grizzlies,2013,3P Top,0.118358
Memphis Grizzlies,2014,0-3 ft,0.301
Memphis Grizzlies,2014,3-10 ft,0.223
Memphis Grizzlies,2014,10-16 ft,0.115
Memphis Grizzlies,2014,Over 16 ft,0.191
Memphis Grizzlies,2014,3P Corner,0.04788
Memphis Grizzlies,2014,3P Top,0.12312
Memphis Grizzlies,2015,0-3 ft,0.305
Memphis Grizzlies,2015,3-10 ft,0.202
Memphis Grizzlies,2015,10-16 ft,0.13
Memphis Grizzlies,2015,Over 16 ft,0.179
Memphis Grizzlies,2015,3P Corner,0.048208
Memphis Grizzlies,2015,3P Top,0.135792
Memphis Grizzlies,2016,0-3 ft,0.313
Memphis Grizzlies,2016,3-10 ft,0.19
Memphis Grizzlies,2016,10-16 ft,0.103
Memphis Grizzlies,2016,Over 16 ft,0.172
Memphis Grizzlies,2016,3P Corner,0.059274
Memphis Grizzlies,2016,3P Top,0.162726
Memphis Grizzlies,2017,0-3 ft,0.288
Memphis Grizzlies,2017,3-10 ft,0.158
Memphis Grizzlies,2017,10-16 ft,0.092
Memphis Grizzlies,2017,Over 16 ft,0.144
Memphis Grizzlies,2017,3P Corner,0.060672
Memphis Grizzlies,2017,3P Top,0.255328
Memphis Grizzlies,2018,0-3 ft,0.312
Memphis Grizzlies,2018,3-10 ft,0.139
Memphis Grizzlies,2018,10-16 ft,0.1
Memphis Grizzlies,2018,Over 16 ft,0.132
Memphis Grizzlies,2018,3P Corner,0.059913
Memphis Grizzlies,2018,3P Top,0.257087
Miami Heat,2001,0-3 ft,0.25
Miami Heat,2001,3-10 ft,0.149
Miami Heat,2001,10-16 ft,0.146
Miami Heat,2001,Over 16 ft,0.233
Miami Heat,2001,3P Corner,0.04641
Miami Heat,2001,3P Top,0.17459
Miami Heat,2002,0-3 ft,0.238
Miami Heat,2002,3-10 ft,0.134
Miami Heat,2002,10-16 ft,0.164
Miami Heat,2002,Over 16 ft,0.323
Miami Heat,2002,3P Corner,0.043005
Miami Heat,2002,3P Top,0.097995
Miami Heat,2003,0-3 ft,0.251
Miami Heat,2003,3-10 ft,0.127
Miami Heat,2003,10-16 ft,0.154
Miami Heat,2003,Over 16 ft,0.299
Miami Heat,2003,3P Corner,0.046982
Miami Heat,2003,3P Top,0.122018
Miami Heat,2004,0-3 ft,0.297
Miami Heat,2004,3-10 ft,0.143
Miami Heat,2004,10-16 ft,0.117
Miami Heat,2004,Over 16 ft,0.231
Miami Heat,2004,3P Corner,0.048108
Miami Heat,2004,3P Top,0.162892
Miami Heat,2005,0-3 ft,0.336
Miami Heat,2005,3-10 ft,0.137
Miami Heat,2005,10-16 ft,0.111
Miami Heat,2005,Over 16 ft,0.218
Miami Heat,2005,3P Corner,0.05049
Miami Heat,2005,3P Top,0.14751
Miami Heat,2006,0-3 ft,0.34
Miami Heat,2006,3-10 ft,0.162
Miami Heat,2006,10-16 ft,0.094
Miami Heat,2006,Over 16 ft,0.177
Miami Heat,2006,3P Corner,0.064468
Miami Heat,2006,3P Top,0.162532
Miami Heat,2007,0-3 ft,0.304
Miami Heat,2007,3-10 ft,0.147
Miami Heat,2007,10-16 ft,0.094
Miami Heat,2007,Over 16 ft,0.211
Miami Heat,2007,3P Corner,0.064435
Miami Heat,2007,3P Top,0.180565
Miami Heat,2008,0-3 ft,0.268
Miami Heat,2008,3-10 ft,0.115
Miami Heat,2008,10-16 ft,0.107
Miami Heat,2008,Over 16 ft,0.294
Miami Heat,2008,3P Corner,0.047957
Miami Heat,2008,3P Top,0.169043
Miami Heat,2009,0-3 ft,0.275
Miami Heat,2009,3-10 ft,0.119
Miami Heat,2009,10-16 ft,0.114
Miami Heat,2009,Over 16 ft,0.247
Miami Heat,2009,3P Corner,0.07056
Miami Heat,2009,3P Top,0.17444
Miami Heat,2010,0-3 ft,0.272
Miami Heat,2010,3-10 ft,0.114
Miami Heat,2010,10-16 ft,0.14
Miami Heat,2010,Over 16 ft,0.256
Miami Heat,2010,3P Corner,0.058254
Miami Heat,2010,3P Top,0.160746
Miami Heat,2011,0-3 ft,0.242
Miami Heat,2011,3-10 ft,0.155
Miami Heat,2011,10-16 ft,0.102
Miami Heat,2011,Over 16 ft,0.267
Miami Heat,2011,3P Corner,0.076845
Miami Heat,2011,3P Top,0.158155
Miami Heat,2012,0-3 ft,0.309
Miami Heat,2012,3-10 ft,0.157
Miami Heat,2012,10-16 ft,0.119
Miami Heat,2012,Over 16 ft,0.218
Miami Heat,2012,3P Corner,0.06534
Miami Heat,2012,3P Top,0.13266
Miami Heat,2013,0-3 ft,0.297
Miami Heat,2013,3-10 ft,0.127
Miami Heat,2013,10-16 ft,0.099
Miami Heat,2013,Over 16 ft,0.192
Miami Heat,2013,3P Corner,0.10944
Miami Heat,2013,3P Top,0.17556
Miami Heat,2014,0-3 ft,0.33
Miami Heat,2014,3-10 ft,0.127
Miami Heat,2014,10-16 ft,0.084
Miami Heat,2014,Over 16 ft,0.168
Miami Heat,2014,3P Corner,0.108624
Miami Heat,2014,3P Top,0.183376
Miami Heat,2015,0-3 ft,0.294
Miami Heat,2015,3-10 ft,0.141
Miami Heat,2015,10-16 ft,0.118
Miami Heat,2015,Over 16 ft,0.184
Miami Heat,2015,3P Corner,0.083316
Miami Heat,2015,3P Top,0.178684
Miami Heat,2016,0-3 ft,0.303
Miami Heat,2016,3-10 ft,0.166
Miami Heat,2016,10-16 ft,0.128
