Team,year,Distance,Frequency
Boston Celtics,2003,Over 16 ft,0.152
Boston Celtics,2003,3P Corner,0.07613
Boston Celtics,2003,3P Top,0.25487
Boston Celtics,2004,0-3 ft,0.285
Boston Celtics,2004,3-10 ft,0.126
Boston Celtics,2004,10-16 ft,0.118
Boston Celtics,2004,Over 16 ft,0.222
Boston Celtics,2004,3P Corner,0.064491
Boston Celtics,2004,3P Top,0.184509
Boston Celtics,2005,0-3 ft,0.364
Boston Celtics,2005,3-10 ft,0.119
Boston Celtics,2005,10-16 ft,0.113
Boston Celtics,2005,Over 16 ft,0.212
Boston Celtics,2005,3P Corner,0.056832
Boston Celtics,2005,3P Top,0.135168
Boston Celtics,2006,0-3 ft,0.341
Boston Celtics,2006,3-10 ft,0.117
Boston Celtics,2006,10-16 ft,0.111
Boston Celtics,2006,Over 16 ft,0.228
Boston Celtics,2006,3P Corner,0.054468
Boston Celtics,2006,3P Top,0.149532
Boston Celtics,2007,0-3 ft,0.317
Boston Celtics,2007,3-10 ft,0.152
Boston Celtics,2007,10-16 ft,0.102
Boston Celtics,2007,Over 16 ft,0.23
Boston Celtics,2007,3P Corner,0.053929
Boston Celtics,2007,3P Top,0.145071
Boston Celtics,2008,0-3 ft,0.32
Boston Celtics,2008,3-10 ft,0.118
Boston Celtics,2008,10-16 ft,0.102
Boston Celtics,2008,Over 16 ft,0.211
Boston Celtics,2008,3P Corner,0.062997
Boston Celtics,2008,3P Top,0.186003
Boston Celtics,2009,0-3 ft,0.332
Boston Celtics,2009,3-10 ft,0.123
Boston Celtics,2009,10-16 ft,0.109
Boston Celtics,2009,Over 16 ft,0.223
Boston Celtics,2009,3P Corner,0.064414
Boston Celtics,2009,3P Top,0.149586
Boston Celtics,2010,0-3 ft,0.339
Boston Celtics,2010,3-10 ft,0.139
Boston Celtics,2010,10-16 ft,0.107
Boston Celtics,2010,Over 16 ft,0.188
Boston Celtics,2010,3P Corner,0.048792
Boston Celtics,2010,3P Top,0.179208
Boston Celtics,2011,0-3 ft,0.313
Boston Celtics,2011,3-10 ft,0.14
Boston Celtics,2011,10-16 ft,0.113
Boston Celtics,2011,Over 16 ft,0.254
Boston Celtics,2011,3P Corner,0.0468
Boston Celtics,2011,3P Top,0.1332
Boston Celtics,2012,0-3 ft,0.28
Boston Celtics,2012,3-10 ft,0.116
Boston Celtics,2012,10-16 ft,0.145
Boston Celtics,2012,Over 16 ft,0.266
Boston Celtics,2012,3P Corner,0.059946
Boston Celtics,2012,3P Top,0.134054
Boston Celtics,2013,0-3 ft,0.287
Boston Celtics,2013,3-10 ft,0.13
Boston Celtics,2013,10-16 ft,0.128
Boston Celtics,2013,Over 16 ft,0.239
Boston Celtics,2013,3P Corner,0.072885
Boston Celtics,2013,3P Top,0.142115
Boston Celtics,2014,0-3 ft,0.273
Boston Celtics,2014,3-10 ft,0.148
Boston Celtics,2014,10-16 ft,0.109
Boston Celtics,2014,Over 16 ft,0.219
Boston Celtics,2014,3P Corner,0.060742
Boston Celtics,2014,3P Top,0.190258
Boston Celtics,2015,0-3 ft,0.279
Boston Celtics,2015,3-10 ft,0.145
Boston Celtics,2015,10-16 ft,0.103
Boston Celtics,2015,Over 16 ft,0.193
Boston Celtics,2015,3P Corner,0.05712
Boston Celtics,2015,3P Top,0.22288
Boston Celtics,2016,0-3 ft,0.318
Boston Celtics,2016,3-10 ft,0.141
Boston Celtics,2016,10-16 ft,0.094
Boston Celtics,2016,Over 16 ft,0.154
Boston Celtics,2016,3P Corner,0.067976
Boston Celtics,2016,3P Top,0.225024
Boston Celtics,2017,0-3 ft,0.296
Boston Celtics,2017,3-10 ft,0.129
Boston Celtics,2017,10-16 ft,0.071
Boston Celtics,2017,Over 16 ft,0.111
Boston Celtics,2017,3P Corner,0.08646
Boston Celtics,2017,3P Top,0.30654
Boston Celtics,2018,0-3 ft,0.259
Boston Celtics,2018,3-10 ft,0.158
Boston Celtics,2018,10-16 ft,0.106
